Ticker,Setor
AALR3,Serv.Méd.Hospit. Análises e Diagnósticos
ABCB4,Intermediários Financeiros
ABEV3,Bebidas
AERI3,Máquinas e Equipamentos
AGRO3,Agropecuária
AGXY3,Agropecuária
ALLD3,Comércio
ALOS3,Exploração de Imóveis
ALPA3,"Tecidos, Vestuário e Calçados"
ALPA4,"Tecidos, Vestuário e Calçados"
ALPK3,Serviços Diversos
ALUP11,Energia Elétrica
ALUP3,Energia Elétrica
ALUP4,Energia Elétrica
AMAR3,Comércio
AMBP3,Água e Saneamento
AMER3,Comércio
AMOB3,Automóveis e Motocicletas
ANIM3,Diversos
ARML3,Diversos
ASAI3,Comércio e Distribuição
ATED3,Diversos
AUAU3,Comércio
AURE3,Energia Elétrica
AVLL3,Construção Civil
AXIA3,Energia Elétrica
AXIA6,Energia Elétrica
AZEV3,Construção e Engenharia
AZEV4,Construção e Engenharia
AZTE3,"Petróleo, Gás e Biocombustíveis"
AZUL3,Transporte
AZZA3,Comércio
BALM3,Equipamentos
BALM4,Equipamentos
BAUH4,Alimentos Processados
BAZA3,Intermediários Financeiros
BBAS3,Intermediários Financeiros
BBDC3,Intermediários Financeiros
BBDC4,Intermediários Financeiros
BBSE3,Previdência e Seguros
BDLL3,Máquinas e Equipamentos
BDLL4,Máquinas e Equipamentos
BEEF3,Alimentos Processados
BEES3,Intermediários Financeiros
BEES4,Intermediários Financeiros
BGIP4,Intermediários Financeiros
BHIA3,Comércio
BIOM3,Medicamentos e Outros Produtos
BLAU3,Comércio e Distribuição
BMEB3,Intermediários Financeiros
BMEB4,Intermediários Financeiros
BMGB4,Intermediários Financeiros
BMIN4,Intermediários Financeiros
BMKS3,Viagens e Lazer
BMOB3,Programas e Serviços
BNBR3,Intermediários Financeiros
BOBR4,Produtos de Uso Pessoal e de Limpeza
BPAC11,Intermediários Financeiros
BPAC3,Intermediários Financeiros
BPAC5,Intermediários Financeiros
BRAP3,Mineração
BRAP4,Mineração
BRAV3,"Petróleo, Gás e Biocombustíveis"
BRBI11,Intermediários Financeiros
BRKM3,Químicos
BRKM5,Químicos
BRSR3,Intermediários Financeiros
BRSR6,Intermediários Financeiros
BRST3,Telecomunicações
BSLI3,Intermediários Financeiros
BSLI4,Intermediários Financeiros
CAMB3,"Tecidos, Vestuário e Calçados"
CAML3,Alimentos Processados
CASH3,Programas e Serviços
CBAV3,Mineração
CBEE3,Energia Elétrica
CEAB3,Comércio
CEBR3,Energia Elétrica
CEBR5,Energia Elétrica
CEBR6,Energia Elétrica
CEDO4,"Tecidos, Vestuário e Calçados"
CEEB3,Energia Elétrica
CGAS3,Gás
CGAS5,Gás
CGRA3,Comércio
CGRA4,Comércio
CLSC3,Energia Elétrica
CLSC4,Energia Elétrica
CMIG3,Energia Elétrica
CMIG4,Energia Elétrica
CMIN3,Mineração
COCE5,Energia Elétrica
COGN3,Diversos
CPFE3,Energia Elétrica
CPLE3,Energia Elétrica
CRPG5,Químicos
CSAN3,"Petróleo, Gás e Biocombustíveis"
CSED3,Diversos
CSMG3,Água e Saneamento
CSNA3,Siderurgia e Metalurgia
CSUD3,Serviços Diversos
CTAX3,Serviços Diversos
CTKA4,"Tecidos, Vestuário e Calçados"
CURY3,Construção Civil
CVCB3,Viagens e Lazer
